Speaker	Vowel	Context	F1/S(F1)	F2/S(F2)	F1g/S(F1g)	F2g/S(F2g)
610	FACE	location	0.864	1.814	NA	NA
610	THOUGHT	location	1.201	1.355	NA	NA
610	THOUGHT	of	1.297	1.14	NA	NA
610	HAPPY	the	0.855	1.772	NA	NA
610	FLEECE	economic	0.795	1.867	NA	NA
610	THOUGHT	economic	1.505	1.028	NA	NA
610	THOUGHT	economic	1.327	1.404	NA	NA
610	HAPPY	economic	0.957	1.853	NA	NA
610	BAT	and	1.559	1.348	NA	NA
610	HAPPY	military	0.896	1.627	NA	NA
610	HAPPY	military	0.861	1.805	NA	NA
610	HAPPY	military	0.774	1.637	NA	NA
610	BAT	power	1.192	0.804	NA	NA
610	THOUGHT	governing	1.16	0.857	NA	NA
610	BAT	governing	1.176	1.284	NA	NA
610	HAPPY	governing	0.702	0.738	NA	NA
610	BAT	the	2.147	1.147	NA	NA
610	HOAX	low	1.015	0.908	NA	NA
610	THOUGHT	countries	1.178	1.071	NA	NA
610	HAPPY	countries	0.815	1.79	NA	NA
610	HAPPY	this	1.043	1.403	NA	NA
610	HAPPY	theory	0.999	1.512	NA	NA
610	HAPPY	theory	0.912	1.636	NA	NA
610	BAT	has	1.595	0.733	NA	NA
610	HAPPY	implications	1.067	1.602	NA	NA
610	HAPPY	implications	0.778	1.614	NA	NA
610	FACE	implications	0.835	1.711	NA	NA
610	THOUGHT	implications	1.294	1.278	NA	NA
610	THOUGHT	for	1.147	0.877	NA	NA
610	FACE	spatial	1.684	0.975	NA	NA
610	BAT	spatial	1.418	1.104	NA	NA
610	HAPPY	illusions	0.928	1.513	NA	NA
610	STEW	illusions	0.766	1.47	NA	NA
610	THOUGHT	illusions	1.429	1.192	NA	NA
610	THOUGHT	such	1.199	1.057	NA	NA
610	BAT	as	1.603	1.191	NA	NA
610	HAPPY	the	0.4	1.382	NA	NA
610	HAPPY	visual	0.738	1.616	NA	NA
610	FOOT	visual	1.012	0.978	NA	NA
610	BAT	visual	1.267	0.924	NA	NA
610	BAT	angle	1.843	1.014	NA	NA
610	FOOT	angle	0.755	0.54	NA	NA
610	HAPPY	illusion	0.833	1.653	NA	NA
610	STEW	illusion	0.837	0.913	NA	NA
610	THOUGHT	illusion	1.424	1.19	NA	NA
610	HAPPY	encounter	1.617	1.686	NA	NA
610	BAT	encounter	1.446	1.117	NA	NA
610	BAT	at	1.789	1.167	NA	NA
610	BAT	farpoint	1.671	0.947	NA	NA
610	HAPPY	is	0.85	1.456	NA	NA
610	HAPPY	the	0.836	1.483	NA	NA
610	GIRL	first	1.487	1.318	NA	NA
610	DRESS	episode	1.365	1.381	NA	NA
610	HAPPY	episode	0.794	1.56	NA	NA
610	HOAX	episode	0.923	1.18	NA	NA
610	THOUGHT	of	1.173	1.01	NA	NA
610	BAT	the	0.88	1.355	NA	NA
610	DRESS	science	1.54	1.579	NA	NA
610	HAPPY	fiction	0.807	1.563	NA	NA
610	THOUGHT	fiction	1.259	1.339	NA	NA
610	DRESS	television	1.181	1.387	NA	NA
610	HAPPY	television	1.039	1.569	NA	NA
610	HAPPY	television	0.719	1.378	NA	NA
610	THOUGHT	television	1.456	1.268	NA	NA
610	HAPPY	series	0.777	1.569	NA	NA
610	FLEECE	series	0.766	1.731	NA	NA
610	BAT	star	1.625	0.835	NA	NA
610	DRESS	trek	1.293	1.501	NA	NA
610	HAPPY	the	0.774	1.573	NA	NA
610	DRESS	next	1.435	1.444	NA	NA
610	DRESS	generation	1.075	1.444	NA	NA
610	DRESS	generation	0.803	1.362	NA	NA
610	FACE	generation	0.957	1.653	NA	NA
610	THOUGHT	generation	1.282	1.306	NA	NA
610	HAPPY	the	0.795	1.612	NA	NA
610	DRESS	entire	1.549	1.87	NA	NA
610	BAT	entire	1.691	0.546	NA	NA
610	THOUGHT	former	1.477	0.809	NA	NA
610	BAT	former	1.252	0.589	NA	NA
610	THOUGHT	northern	1.348	1.039	NA	NA
610	BAT	northern	1.363	1.324	NA	NA
610	BAT	cameroon	1.596	1.201	NA	NA
610	DRESS	cameroon	1.342	0.99	NA	NA
610	STEW	cameroon	0.747	0.723	NA	NA
610	THOUGHT	province	0.922	0.777	NA	NA
610	HAPPY	province	0.963	1.549	NA	NA
610	DRESS	headquartered	1.207	1.435	NA	NA
610	BAT	headquartered	1.533	0.952	NA	NA
610	BAT	headquartered	1.615	1.242	NA	NA
610	BAT	at	1.586	0.982	NA	NA
610	BAT	has	1.281	1.234	NA	NA
610	STEW	to	0.844	1.449	NA	NA
610	HAPPY	the	0.725	1.763	NA	NA
610	STEW	use	0.586	1.708	NA	NA
610	THOUGHT	of	1.141	0.776	NA	NA
610	GLARE	their	0.854	1.878	NA	NA
610	BAT	their	1.119	1.344	NA	NA
610	GLARE	various	0.971	1.593	NA	NA
610	HAPPY	various	1.232	1.197	NA	NA
610	YOU	various	1.14	1.243	NA	NA
610	STEW	TRUE	0.937	1.449	NA	NA
610	FACE	names	0.683	0.771	NA	NA
610	BAT	niger	1.023	1.409	NA	NA
610	DRESS	delta	1.283	1.159	NA	NA
610	BAT	delta	1.471	1.059	NA	NA
610	HAPPY	is	0.988	1.661	NA	NA
610	THOUGHT	sometimes	1.641	0.863	NA	NA
610	THOUGHT	called	1.161	0.634	NA	NA
610	BAT	the	1.019	1.137	NA	NA
610	HAPPY	rivers	1.026	1.27	NA	NA
610	BAT	rivers	1.551	1.158	NA	NA
610	HAPPY	because	0.795	1.816	NA	NA
610	THOUGHT	because	1.299	1	NA	NA
610	HAPPY	it	0.872	1.369	NA	NA
610	THOUGHT	was	1.088	0.935	NA	NA
610	THOUGHT	once	1.685	1.075	NA	NA
610	BAT	a	0.94	1.666	NA	NA
610	FACE	major	1.064	1.725	NA	NA
610	THOUGHT	major	1.11	1.22	NA	NA
610	THOUGHT	producer	0.975	1.403	NA	NA
610	STEW	producer	0.88	1.636	NA	NA
610	BAT	producer	1.427	1.154	NA	NA
610	THOUGHT	of	1.516	0.97	NA	NA
610	BAT	palm	1.684	1.059	NA	NA
610	HAPPY	referring	0.889	1.443	NA	NA
610	GIRL	referring	1.327	1.096	NA	NA
610	HAPPY	referring	1.459	1.274	NA	NA
610	STEW	to	0.792	1.357	NA	NA
610	BAT	the	1.027	1.381	NA	NA
610	DRESS	netherlands	1.467	1.339	NA	NA
610	BAT	netherlands	1.336	1.217	NA	NA
610	BAT	netherlands	1.773	1.176	NA	NA
610	FACE	as	1.086	1.172	NA	NA
610	THOUGHT	holland	1.224	0.815	NA	NA
610	BAT	holland	1.788	1.132	NA	NA
610	HAPPY	in	0.757	1.831	NA	NA
610	HAPPY	the	1.058	0.882	NA	NA
610	HAPPY	english	0.868	0.603	NA	NA
610	HAPPY	english	0.874	1.505	NA	NA
610	BAT	language	1.651	1.152	NA	NA
610	HAPPY	language	0.93	1.473	NA	NA
610	HAPPY	is	0.842	1.506	NA	NA
610	HAPPY	similar	1.063	1.417	NA	NA
610	HAPPY	similar	0.644	1.2	NA	NA
610	BAT	similar	1.701	1.145	NA	NA
610	STEW	to	0.707	1.107	NA	NA
610	THOUGHT	calling	1.249	0.818	NA	NA
610	HAPPY	calling	1.273	1.667	NA	NA
610	HAPPY	the	0.746	1.666	NA	NA
610	STEW	united	0.959	1.826	NA	NA
610	DRESS	united	1.148	1.551	NA	NA
610	HAPPY	kingdom	1.154	1.8	NA	NA
610	THOUGHT	kingdom	1.137	1.088	NA	NA
610	HAPPY	england	0.91	0.579	NA	NA
610	BAT	england	0.635	0.622	NA	NA
610	FLEECE	people	0.871	1.671	NA	NA
610	FOOT	people	0.917	0.626	NA	NA
610	HAPPY	the	0.623	1.736	NA	NA
610	STEW	united	0.921	1.749	NA	NA
610	DRESS	united	1.066	1.448	NA	NA
610	HAPPY	kingdom	0.964	1.579	NA	NA
610	THOUGHT	kingdom	1.274	1.017	NA	NA
610	FLEECE	these	0.721	1.491	NA	NA
610	BAT	are	1.728	1.189	NA	NA
610	THOUGHT	not	1.415	1.173	NA	NA
610	THOUGHT	professed	1.094	1.015	NA	NA
610	DRESS	professed	1.308	1.378	NA	NA
610	HAPPY	religious	0.662	1.32	NA	NA
610	HAPPY	religious	0.745	2.021	NA	NA
610	YOU	religious	1.148	1.323	NA	NA
610	STEW	who	1.181	0.778	NA	NA
610	BAT	have	1.273	1.171	NA	NA
610	FACE	taken	0.859	1.665	NA	NA
610	DRESS	taken	0.953	1.6	NA	NA
610	BAT	the	1.056	1.016	NA	NA
610	HOAX	oaths	0.852	0.581	NA	NA
610	THOUGHT	of	1.352	0.863	NA	NA
610	THOUGHT	poverty	1.406	0.817	NA	NA
610	BAT	poverty	1.272	1.373	NA	NA
610	HAPPY	poverty	0.59	2.036	NA	NA
610	DRESS	and	1.682	1.311	NA	NA
610	HOAX	obedience	1.027	1.369	NA	NA
610	FLEECE	obedience	0.783	1.954	NA	NA
610	HAPPY	obedience	0.686	1.899	NA	NA
610	DRESS	obedience	0.973	1.698	NA	NA
610	FOOT	during	0.763	1.451	NA	NA
610	HAPPY	during	1.343	1.517	NA	NA
610	HAPPY	this	0.95	1.568	NA	NA
610	HAPPY	expansion	1.057	1.607	NA	NA
610	BAT	expansion	1.709	1.092	NA	NA
610	THOUGHT	expansion	1.64	1.26	NA	NA
610	BAT	franks	2.111	0.789	NA	NA
610	FACE	migrating	0.93	1.432	NA	NA
610	HAPPY	migrating	1.014	1.417	NA	NA
610	STEW	to	0.583	1.278	NA	NA
610	BAT	the	0.933	1.251	NA	NA
610	HAPPY	eventually	0.723	1.484	NA	NA
610	DRESS	eventually	1.306	1.363	NA	NA
610	FOOT	eventually	0.842	0.914	NA	NA
610	HAPPY	eventually	0.993	1.842	NA	NA
610	BAT	adopted	1.151	1.453	NA	NA
610	THOUGHT	adopted	1.149	1.079	NA	NA
610	DRESS	adopted	1.171	1.441	NA	NA
610	BAT	the	1.002	1.21	NA	NA
610	THOUGHT	vulgar	1.261	0.685	NA	NA
610	BAT	vulgar	1.518	0.943	NA	NA
610	BAT	latin	1.71	1.091	NA	NA
610	HAPPY	latin	0.688	0.867	NA	NA
610	THOUGHT	of	1.669	1.064	NA	NA
610	HAPPY	the	0.709	1.399	NA	NA
610	HOAX	local	1.04	0.828	NA	NA
610	BAT	local	1.258	0.837	NA	NA
610	THOUGHT	population	1.108	0.7	NA	NA
610	FOOT	population	0.636	1.25	NA	NA
610	FACE	population	0.92	1.593	NA	NA
610	THOUGHT	population	1.192	1.242	NA	NA
610	THOUGHT	all	1.265	0.592	NA	NA
610	HAPPY	the	0.766	1.822	NA	NA
610	FACE	major	0.881	1.958	NA	NA
610	THOUGHT	major	1.331	1.209	NA	NA
610	BAT	national	1.656	1.084	NA	NA
610	THOUGHT	national	1.22	1.242	NA	NA
610	BAT	national	1.809	0.972	NA	NA
610	THOUGHT	provider	0.997	0.711	NA	NA
610	BAT	provider	1.596	1.375	NA	NA
610	DRESS	and	1.304	0.742	NA	NA
610	FACE	payer	0.812	1.912	NA	NA
610	BAT	payer	1.581	1.267	NA	NA
610	THOUGHT	organizations	1.355	0.867	NA	NA
610	BAT	organizations	1.634	1.23	NA	NA
610	FACE	organizations	0.846	1.782	NA	NA
610	THOUGHT	organizations	1.575	1.319	NA	NA
610	BAT	participate	1.728	0.806	NA	NA
610	HAPPY	participate	0.502	1.464	NA	NA
610	HAPPY	participate	0.733	1.365	NA	NA
610	FACE	participate	1.002	1.727	NA	NA
610	HAPPY	in	1.146	1.553	NA	NA
610	HAPPY	discussions	0.446	1.38	NA	NA
610	THOUGHT	discussions	1.364	0.87	NA	NA
610	THOUGHT	discussions	1.406	1.18	NA	NA
610	BAT	and	0.918	0.724	NA	NA
610	HAPPY	decisions	0.821	1.39	NA	NA
610	HAPPY	decisions	0.83	1.46	NA	NA
610	THOUGHT	decisions	1.35	1.21	NA	NA
610	THOUGHT	on	1.764	1.074	NA	NA
610	THOUGHT	policy	1.244	0.864	NA	NA
610	HAPPY	policy	0.769	1.772	NA	NA
610	HAPPY	policy	0.919	1.822	NA	NA
610	DRESS	and	1.326	1.751	NA	NA
610	DRESS	when	1.645	1.379	NA	NA
610	BAT	kwara	1.592	1.056	NA	NA
610	BAT	kwara	1.416	1.282	NA	NA
610	FACE	state	0.9	1.647	NA	NA
610	THOUGHT	governor	1.194	0.838	NA	NA
610	BAT	governor	0.572	1.201	NA	NA
610	THOUGHT	governor	1.126	0.991	NA	NA
610	BAT	appointed	1.155	1.056	NA	NA
610	DRESS	appointed	1.19	1.418	NA	NA
610	HAPPY	the	0.762	1.651	NA	NA
610	FLEECE	three	0.727	1.763	NA	NA
610	STEW	new	0.871	1.677	NA	NA
610	THOUGHT	monarchs	1.456	0.883	NA	NA
610	BAT	monarchs	1.615	1.291	NA	NA
610	HAPPY	the	0.813	1.678	NA	NA
610	STEW	new	0.936	1.788	NA	NA
610	DRESS	emir	1.621	1.512	NA	NA
610	HAPPY	emir	1.479	1.671	NA	NA
610	BAT	emir	1.81	1.171	NA	NA
610	THOUGHT	of	1.276	0.743	NA	NA
610	THOUGHT	was	1.133	1.004	NA	NA
610	DRESS	designated	1.102	1.473	NA	NA
610	HAPPY	designated	0.578	1.458	NA	NA
610	FACE	designated	0.952	1.899	NA	NA
610	DRESS	designated	1.278	1.521	NA	NA
610	BAT	a	0.919	1.709	NA	NA
610	GIRL	first	1.207	0.588	NA	NA
610	BAT	class	1.885	1.023	NA	NA
610	BAT	traditional	1.226	1.203	NA	NA
610	HAPPY	traditional	0.954	1.511	NA	NA
610	THOUGHT	traditional	1.134	1.16	NA	NA
610	BAT	traditional	1.7	0.825	NA	NA
610	STEW	ruler	0.877	0.59	NA	NA
610	BAT	ruler	1.974	1.078	NA	NA
610	BAT	carrot	1.748	1.117	NA	NA
610	THOUGHT	carrot	1.411	1.413	NA	NA
610	BAT	salads	1.538	1.14	NA	NA
610	BAT	salads	1.467	1.218	NA	NA
610	BAT	are	0.95	1.354	NA	NA
610	STEW	usually	0.696	1.807	NA	NA
610	FOOT	usually	0.844	1.773	NA	NA
610	BAT	usually	0.545	1.375	NA	NA
610	HAPPY	usually	0.635	1.221	NA	NA
610	FACE	made	0.818	2.016	NA	NA
610	HAPPY	with	0.72	1.413	NA	NA
610	FACE	grated	0.87	1.584	NA	NA
610	DRESS	grated	1.241	1.48	NA	NA
610	BAT	carrots	1.563	1.086	NA	NA
610	THOUGHT	carrots	1.137	1.262	NA	NA
610	HAPPY	with	0.79	1.454	NA	NA
610	BAT	a	0.84	1.465	NA	NA
610	FLEECE	seasoning	0.844	1.383	NA	NA
610	YOU	seasoning	1.068	1.441	NA	NA
610	HAPPY	seasoning	0.705	0.888	NA	NA
610	THOUGHT	of	1.362	1.015	NA	NA
610	THOUGHT	mustard	1.505	0.88	NA	NA
610	BAT	mustard	1.15	1.434	NA	NA
610	FLEECE	seeds	0.688	2.072	NA	NA
610	BAT	and	1.752	1.424	NA	NA
610	FLEECE	green	0.911	1.838	NA	NA
610	THOUGHT	popped	1.223	0.74	NA	NA
610	HAPPY	in	1.077	1.524	NA	NA
610	THOUGHT	hot	1.243	0.842	NA	NA
610	HAPPY	the	0.864	1.817	NA	NA
610	HAPPY	itsekiri	0.858	1.879	NA	NA
610	DRESS	itsekiri	1.123	1.406	NA	NA
610	HAPPY	itsekiri	0.867	1.452	NA	NA
610	HAPPY	itsekiri	0.752	1.554	NA	NA
610	THOUGHT	monarchy	1.518	1.046	NA	NA
610	BAT	monarchy	1.447	1.526	NA	NA
610	HAPPY	monarchy	0.903	1.934	NA	NA
610	BAT	has	1.55	1.205	NA	NA
610	THOUGHT	continued	1.146	1.099	NA	NA
610	HAPPY	continued	0.783	1.925	NA	NA
610	STEW	continued	0.694	1.627	NA	NA
610	STEW	to	0.363	1.408	NA	NA
610	HAPPY	the	0.771	1.372	NA	NA
610	DRESS	present	1.137	1.306	NA	NA
610	DRESS	present	1.379	1.49	NA	NA
610	FACE	day	0.698	1.924	NA	NA
610	HAPPY	with	0.817	1.302	NA	NA
610	HAPPY	the	0.752	1.824	NA	NA
610	THOUGHT	coronation	0.958	1.104	NA	NA
610	THOUGHT	coronation	1.321	1.344	NA	NA
610	FACE	coronation	1.022	1.68	NA	NA
610	THOUGHT	coronation	1.518	1.264	NA	NA
610	THOUGHT	of	1.28	0.82	NA	NA
610	FLEECE	ikenwoli	0.771	1.817	NA	NA
610	DRESS	ikenwoli	1.207	1.574	NA	NA
610	THOUGHT	ikenwoli	0.921	0.527	NA	NA
610	HAPPY	ikenwoli	0.452	0.663	NA	NA
610	HOAX	home	1.069	0.732	NA	NA
610	THOUGHT	was	1.226	0.919	NA	NA
610	HAPPY	in	0.94	1.499	NA	NA
610	DRESS	several	1.208	1.264	NA	NA
610	BAT	several	1.358	0.857	NA	NA
610	BAT	several	1.715	0.961	NA	NA
610	GIRL	barns	1.959	1.068	NA	NA
610	GLARE	were	1.074	1.296	NA	NA
610	HAPPY	destroyed	0.925	1.348	NA	NA
610	THOUGHT	multiple	1.536	0.884	NA	NA
610	HAPPY	multiple	0.837	1.241	NA	NA
610	FOOT	multiple	0.913	0.736	NA	NA
610	HAPPY	buildings	0.725	1.602	NA	NA
610	HAPPY	buildings	0.994	1.562	NA	NA
610	YOU	sustained	1.052	1.146	NA	NA
610	FACE	sustained	1.149	1.72	NA	NA
610	STEW	roof	0.792	1.063	NA	NA
610	BAT	damage	1.743	1.118	NA	NA
610	HAPPY	damage	0.929	1.954	NA	NA
610	BAT	and	1.608	1.262	NA	NA
610	FLEECE	trees	0.855	1.628	NA	NA
610	GLARE	were	1.092	1.04	NA	NA
610	THOUGHT	uprooted	1.168	0.801	NA	NA
610	STEW	uprooted	0.843	1.401	NA	NA
610	DRESS	uprooted	1.232	1.324	NA	NA
610	BAT	and	1.539	1.324	NA	NA
610	HAPPY	sheared	1.092	1.376	NA	NA
610	BAT	sheared	1.139	1.338	NA	NA
610	BAT	apart	1.534	1.198	NA	NA
610	BAT	apart	1.853	0.916	NA	NA
610	BAT	a	0.981	1.651	NA	NA
610	THOUGHT	small	1.416	0.873	NA	NA
610	BAT	fraction	1.541	1.029	NA	NA
610	THOUGHT	fraction	1.085	1.205	NA	NA
610	THOUGHT	of	1.267	0.826	NA	NA
610	BAT	mambilla	1.067	0.533	NA	NA
610	HAPPY	mambilla	0.831	1.852	NA	NA
610	BAT	mambilla	1.706	1.227	NA	NA
610	BAT	migrants	1.742	1.214	NA	NA
610	DRESS	left	1.486	1.319	NA	NA
610	HAPPY	the	0.925	1.423	NA	NA
610	BAT	mambilla	1.616	1.12	NA	NA
610	HAPPY	mambilla	0.834	1.717	NA	NA
610	BAT	mambilla	1.657	1.223	NA	NA
610	BAT	plateau	1.353	1.329	NA	NA
610	HOAX	plateau	0.716	1.621	NA	NA
610	THOUGHT	for	1.239	0.982	NA	NA
610	HAPPY	the	0.802	1.461	NA	NA
610	THOUGHT	ndom	1.201	0.934	NA	NA
610	FACE	plain	1.044	1.892	NA	NA
610	THOUGHT	on	1.329	0.935	NA	NA
610	BAT	the	0.926	1.299	NA	NA
610	BAT	cameroon	1.847	1.101	NA	NA
610	DRESS	cameroon	1.484	1.052	NA	NA
610	STEW	cameroon	1.142	1.335	NA	NA
610	THOUGHT	of	1.205	0.927	NA	NA
610	HAPPY	the	0.961	1.629	NA	NA
610	HAPPY	international	0.99	1.717	NA	NA
610	BAT	international	1.219	1.222	NA	NA
610	BAT	international	1.864	1.189	NA	NA
610	BAT	international	0.493	1.188	NA	NA
610	BAT	international	1.598	1.12	NA	NA
610	THOUGHT	border	1.397	0.936	NA	NA
610	BAT	border	1.614	1.204	NA	NA
610	FLEECE	speaking	0.792	1.571	NA	NA
610	HAPPY	speaking	1.243	0.742	NA	NA
610	HAPPY	in	1.238	1.726	NA	NA
610	HOAX	lokoja	1.347	0.891	NA	NA
610	HOAX	lokoja	1.266	1.242	NA	NA
610	BAT	lokoja	1.77	1.139	NA	NA
610	HAPPY	nigerian	1.007	1.211	NA	NA
610	HAPPY	nigerian	1.773	1.26	NA	NA
610	BAT	nigerian	1.475	1.098	NA	NA
610	DRESS	president	1.4	1.256	NA	NA
610	HAPPY	president	0.579	1.337	NA	NA
610	DRESS	president	1.581	1.449	NA	NA
610	FOOT	umaru	1.036	0.865	NA	NA
610	BAT	umaru	1.867	0.89	NA	NA
610	STEW	umaru	0.445	0.944	NA	NA
610	BAT	yar'adua	1.601	1.08	NA	NA
610	YOU	yar'adua	0.79	0.714	NA	NA
610	BAT	yar'adua	1.748	0.985	NA	NA
610	FACE	stated	0.946	1.859	NA	NA
610	DRESS	stated	1.391	1.508	NA	NA
610	BAT	that	1.576	1.038	NA	NA
610	HAPPY	the	0.777	1.563	NA	NA
610	THOUGHT	project	1.183	1.125	NA	NA
610	DRESS	project	1.18	1.402	NA	NA
610	FOOT	would	0.753	0.715	NA	NA
610	FLEECE	lead	0.609	1.971	NA	NA
610	STEW	to	0.813	0.966	NA	NA
610	THOUGHT	all	1.251	0.585	NA	NA
610	HAPPY	year	1.088	1.731	NA	NA
610	BAT	year	1.298	1.215	NA	NA
610	THOUGHT	on	1.663	0.85	NA	NA
610	HAPPY	the	0.768	1.606	NA	NA
610	HAPPY	river	0.937	1.471	NA	NA
610	BAT	river	1.375	1.124	NA	NA
610	BAT	niger	1.743	1.157	NA	NA
610	BAT	chance	1.703	0.637	NA	NA
610	HAPPY	events	0.782	1.782	NA	NA
610	DRESS	events	1.61	1.549	NA	NA
610	BAT	are	1.815	1	NA	NA
610	DRESS	definition	1.189	1.466	NA	NA
610	HAPPY	definition	0.911	1.362	NA	NA
610	HAPPY	definition	0.949	1.613	NA	NA
610	THOUGHT	definition	1.488	1.204	NA	NA
